Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
50.0,0.1073688,-0.9655628,1.072932,-1.541186,-0.2547192,-1.286466,0.5158736,-1.019247,-0.02335353,0.06815746,0.0107252,0.05743226
51.0,0.1068114,-0.965695,1.072506,-1.541075,-0.2552612,-1.285814,0.5152764,-1.019101,-0.02284281,0.06839557,0.01135498,0.05704059
52.0,0.1063246,-0.9660259,1.072351,-1.541263,-0.255679,-1.285584,0.5149526,-1.019188,-0.02239258,0.0686118,0.01191332,0.05669848
53.0,0.1058973,-0.9665743,1.072472,-1.541777,-0.2559817,-1.285795,0.5149069,-1.019523,-0.02199034,0.06880961,0.01241446,0.05639515
54.0,0.1055208,-0.9673457,1.072866,-1.542628,-0.2561803,-1.286448,0.5151337,-1.020106,-0.0216264,0.06899258,0.01286989,0.05612269
55.0,0.1051894,-0.9683332,1.073523,-1.543809,-0.256287,-1.287522,0.5156177,-1.020928,-0.02129456,0.06916384,0.01328735,0.05587648
56.0,0.1048999,-0.96952,1.07442,-1.545303,-0.2563148,-1.288988,0.5163365,-1.02197,-0.02099171,0.06932587,0.01367122,0.05565465
57.0,0.1046509,-0.970883,1.075534,-1.547078,-0.2562767,-1.290802,0.5172625,-1.023208,-0.02071676,0.0694805,0.01402349,0.05545701
58.0,0.1044411,-0.9723961,1.076837,-1.549103,-0.2561851,-1.292918,0.5183664,-1.024617,-0.02046948,0.06962901,0.01434502,0.05528398
59.0,0.1042688,-0.9740333,1.078302,-1.55134,-0.2560513,-1.295289,0.5196188,-1.026168,-0.02024956,0.06977232,0.0146366,0.05513572
60.0,0.1041313,-0.9757703,1.079902,-1.553755,-0.2558854,-1.29787,0.5209922,-1.027836,-0.020056,0.06991111,0.01489955,0.05501156
61.0,0.1040249,-0.9775823,1.081607,-1.556308,-0.2556963,-1.300612,0.5224578,-1.029595,-0.01988682,0.07004584,0.0151361,0.05490974
62.0,0.1039459,-0.9794563,1.083402,-1.558978,-0.2554908,-1.303488,0.5239984,-1.031429,-0.01973964,0.07017713,0.01534892,0.0548282
63.0,0.10389,-0.9813761,1.085266,-1.561739,-0.2552755,-1.306463,0.5255938,-1.033321,-0.01961163,0.0703053,0.01554102,0.05476428
64.0,0.1038534,-0.9833272,1.087181,-1.564563,-0.2550556,-1.309508,0.5272261,-1.035254,-0.01949999,0.07043058,0.0157153,0.05471528
65.0,0.103833,-0.9852971,1.08913,-1.567431,-0.2548354,-1.312595,0.52888,-1.037214,-0.01940219,0.07055307,0.01587435,0.05467872
66.0,0.103826,-0.9872749,1.091101,-1.570323,-0.2546184,-1.315704,0.5305429,-1.039188,-0.01931618,0.07067286,0.01602025,0.05465261
67.0,0.1038309,-0.9892517,1.093083,-1.573224,-0.2544071,-1.318817,0.5322047,-1.041167,-0.01924046,0.07078994,0.01615451,0.05463543
68.0,0.1038462,-0.9912203,1.095066,-1.576122,-0.2542033,-1.321919,0.5338579,-1.043143,-0.01917399,0.07090431,0.01627816,0.05462615
69.0,0.1038711,-0.9931749,1.097046,-1.579009,-0.2540078,-1.325001,0.5354968,-1.04511,-0.01911609,0.071016,0.01639191,0.05462408
70.0,0.103905,-0.9951114,1.099016,-1.581878,-0.2538211,-1.328056,0.5371176,-1.047064,-0.01906623,0.07112502,0.01649628,0.05462875
71.0,0.1039471,-0.9970269,1.100974,-1.584722,-0.2536432,-1.331079,0.5387179,-1.049,-0.01902396,0.07123149,0.01659178,0.05463971
